news_headline,news_article,news_category,full_text,clean_text
"Old tweets can ruin careers, may add clarification feature: Dorsey","Twitter CEO Jack Dorsey has revealed the micro-blogging platform is ""thinking about"" a feature to retweet posted tweets with 'clarifications' attached to them. Dorsey pointed out that old tweets can ruin people's careers and the feature would disable retweeting original tweets. He had earlier said Twitter is considering letting users edit tweets in 5-30 seconds by introducing a posting delay.",technology,"Old tweets can ruin careers, may add clarification feature: Dorsey. Twitter CEO Jack Dorsey has revealed the micro-blogging platform is ""thinking about"" a feature to retweet posted tweets with 'clarifications' attached to them. Dorsey pointed out that old tweets can ruin people's careers and the feature would disable retweeting original tweets. He had earlier said Twitter is considering letting users edit tweets in 5-30 seconds by introducing a posting delay.","Old tweets ruin careers , may add clarification feature : Dorsey. Twitter CEO Jack Dorsey revealed micro-blogging platform "" thinking "" feature retweet posted tweets clarifications attached them. Dorsey pointed old tweets ruin peoples careers feature would disable retweeting original tweets. earlier said Twitter considering letting users edit tweets 5-30 seconds introducing posting delay ."
Twitter doesn't remove deleted messages from servers: Report,"Deleted direct messages of current and deactivated or suspended Twitter accounts are not deleted from servers, TechCrunch has said. Data from years ago was reportedly accessible despite Twitter's policy of removing it after 30 days of account deactivation. Another bug which allowed ""clear bypass"" of Twitter mechanisms to prevent access to suspended or deactivated accounts was also reported.",technology,"Twitter doesn't remove deleted messages from servers: Report. Deleted direct messages of current and deactivated or suspended Twitter accounts are not deleted from servers, TechCrunch has said. Data from years ago was reportedly accessible despite Twitter's policy of removing it after 30 days of account deactivation. Another bug which allowed ""clear bypass"" of Twitter mechanisms to prevent access to suspended or deactivated accounts was also reported.","Twitter not remove deleted messages servers : Report. Deleted direct messages current deactivated suspended Twitter accounts not deleted servers , TechCrunch said. Data years ago reportedly accessible despite Twitters policy removing 30 days account deactivation. Another bug allowed "" clear bypass "" Twitter mechanisms prevent access suspended deactivated accounts also reported ."
Facebook tracks former staff it considers a 'threat': Report,"Facebook maintains a ""be on lookout"" (BOLO) list of its users including former employees it considers a 'threat' to the company and employees, a CNBC report claimed. The social media giant reportedly tracks phrases like ""F**k you, Mark,"" ""F**k Facebook,"" or ""I'm gonna go kick your a**"". Facebook can track BOLO users using their smartphone's location data, the report added.",technology,"Facebook tracks former staff it considers a 'threat': Report. Facebook maintains a ""be on lookout"" (BOLO) list of its users including former employees it considers a 'threat' to the company and employees, a CNBC report claimed. The social media giant reportedly tracks phrases like ""F**k you, Mark,"" ""F**k Facebook,"" or ""I'm gonna go kick your a**"". Facebook can track BOLO users using their smartphone's location data, the report added.","Facebook tracks former staff considers threat : Report. Facebook maintains "" lookout "" ( BOLO ) list users including former employees considers threat company employees , CNBC report claimed. social media giant reportedly tracks phrases like "" F**k , Mark , "" "" F**k Facebook , "" "" gonna go kick a** "" . Facebook track BOLO users using smartphones location data , report added ."
Ex-Microsoft exec hired to lead Apple's smart home products line,"Apple has appointed Sam Jadallah, who formerly worked as Corporate Vice President in Microsoft for 12 years, to lead its 'Home' products division. Confirming the matter, Jadallah in a Facebook post said, ""I joined Apple...Great people & maniacal focus on doing great work."" Earlier in 2013, Jadallah had founded California-based startup Otto that created digital locks for homes.",technology,"Ex-Microsoft exec hired to lead Apple's smart home products line. Apple has appointed Sam Jadallah, who formerly worked as Corporate Vice President in Microsoft for 12 years, to lead its 'Home' products division. Confirming the matter, Jadallah in a Facebook post said, ""I joined Apple...Great people & maniacal focus on doing great work."" Earlier in 2013, Jadallah had founded California-based startup Otto that created digital locks for homes.","Ex-Microsoft exec hired lead Apples smart home products line. Apple appointed Sam Jadallah , formerly worked Corporate Vice President Microsoft 12 years , lead Home products division. Confirming matter , Jadallah Facebook post said , "" joined Apple ... Great people &amp; maniacal focus great work. "" Earlier 2013 , Jadallah founded California-based startup Otto created digital locks homes ."
China's TCL may make phone that could bend into smartwatch,"Chinese firm TCL, which handles sales of Alcatel and BlackBerry, is reportedly working on five new foldable devices, one of which could bend into a smartwatch, as per company renderings and patent filings. The device appears to be a slim smartphone that can wrap around users' wrists. TCL will launch its first foldable product in 2020, an executive had said.",technology,"China's TCL may make phone that could bend into smartwatch. Chinese firm TCL, which handles sales of Alcatel and BlackBerry, is reportedly working on five new foldable devices, one of which could bend into a smartwatch, as per company renderings and patent filings. The device appears to be a slim smartphone that can wrap around users' wrists. TCL will launch its first foldable product in 2020, an executive had said.","Chinas TCL may make phone could bend smartwatch. Chinese firm TCL , handles sales Alcatel BlackBerry , reportedly working five new foldable devices , one could bend smartwatch , per company renderings patent filings. device appears slim smartphone wrap around users wrists. TCL launch first foldable product 2020 , executive said ."
Apple buys Barbie voice-tech startup to improve Siri: Report,"Apple has reportedly acquired voice-tech startup PullString, which develops apps for Amazon and Google's digital assistants, to help improve voice capabilities of its own digital assistant, Siri. The deal is reportedly worth at least $30 million. Founded in 2011 by former Pixar executives, PullString helps develop the voice technology used in toys like talking Barbie and Thomas The Tank Engine.",technology,"Apple buys Barbie voice-tech startup to improve Siri: Report. Apple has reportedly acquired voice-tech startup PullString, which develops apps for Amazon and Google's digital assistants, to help improve voice capabilities of its own digital assistant, Siri. The deal is reportedly worth at least $30 million. Founded in 2011 by former Pixar executives, PullString helps develop the voice technology used in toys like talking Barbie and Thomas The Tank Engine.","Apple buys Barbie voice-tech startup improve Siri : Report. Apple reportedly acquired voice-tech startup PullString , develops apps Amazon Googles digital assistants , help improve voice capabilities digital assistant , Siri. deal reportedly worth least $ 30 million. Founded 2011 former Pixar executives , PullString helps develop voice technology used toys like talking Barbie Thomas Tank Engine ."
New WhatsApp feature to ask users before adding on group: Report,"WhatsApp is developing a new feature which will require invitations to be sent to users in order to add them to a group, as per WABetaInfo. Users will reportedly have options including 'My Contacts', 'Everyone' and 'Nobody' to decide who can add them to a group. Users will have to accept or decline the invitation within 72 hours, WABetaInfo added.",technology,"New WhatsApp feature to ask users before adding on group: Report. WhatsApp is developing a new feature which will require invitations to be sent to users in order to add them to a group, as per WABetaInfo. Users will reportedly have options including 'My Contacts', 'Everyone' and 'Nobody' to decide who can add them to a group. Users will have to accept or decline the invitation within 72 hours, WABetaInfo added.","New WhatsApp feature ask users adding group : Report. WhatsApp developing new feature require invitations sent users order add group , per WABetaInfo. Users reportedly options including Contacts , Everyone Nobody decide add group. Users accept decline invitation within 72 hours , WABetaInfo added ."
"Google, FB to pay creators under new EU copyright rules",Online platforms including Facebook and Google will be required to compensate publishers and creators for their content under the new European Union (EU) rules. The technology firms will be required to remove or block uploads if artistes and music producers refuse to grant licences. Google had said it may pull Google News service from Europe in response to the law.,technology,"Google, FB to pay creators under new EU copyright rules. Online platforms including Facebook and Google will be required to compensate publishers and creators for their content under the new European Union (EU) rules. The technology firms will be required to remove or block uploads if artistes and music producers refuse to grant licences. Google had said it may pull Google News service from Europe in response to the law.","Google , FB pay creators new EU copyright rules. Online platforms including Facebook Google required compensate publishers creators content new European Union ( EU ) rules. technology firms required remove block uploads artistes music producers refuse grant licences. Google said may pull Google News service Europe response law ."
Google Maps reveals location of Taiwan missile sites,"Google's 3D maps has revealed the locations of missile sites in Taiwan, including the types of launchers and models of the missiles. The maps also revealed the location of Taiwan's National Security Bureau and Military Intelligence Bureau. ""The site of defence infrastructure in times of peace does not indicate its location in times of war,"" Taiwan's Defence Minister said. ",technology,"Google Maps reveals location of Taiwan missile sites. Google's 3D maps has revealed the locations of missile sites in Taiwan, including the types of launchers and models of the missiles. The maps also revealed the location of Taiwan's National Security Bureau and Military Intelligence Bureau. ""The site of defence infrastructure in times of peace does not indicate its location in times of war,"" Taiwan's Defence Minister said. ","Google Maps reveals location Taiwan missile sites. Googles 3D maps revealed locations missile sites Taiwan , including types launchers models missiles. maps also revealed location Taiwans National Security Bureau Military Intelligence Bureau. "" site defence infrastructure times peace not indicate location times war , "" Taiwans Defence Minister said."
Ixigo denies report that claimed 18 million user data stolen,"Gurugram-based travel and hotel booking platform Ixigo has denied reports that hackers stole 18 million users' data including emails and passwords. The company stores only names and email IDs, not passwords, said CEO Aloke Bajpai. Reports said stolen data involved 617 million accounts from 16 websites including Dubsmash and MyFitnessPal and another 127 million from eight sites including Ixigo.",technology,"Ixigo denies report that claimed 18 million user data stolen. Gurugram-based travel and hotel booking platform Ixigo has denied reports that hackers stole 18 million users' data including emails and passwords. The company stores only names and email IDs, not passwords, said CEO Aloke Bajpai. Reports said stolen data involved 617 million accounts from 16 websites including Dubsmash and MyFitnessPal and another 127 million from eight sites including Ixigo.","Ixigo denies report claimed 18 million user data stolen. Gurugram-based travel hotel booking platform Ixigo denied reports hackers stole 18 million users data including emails passwords. company stores names email IDs , not passwords , said CEO Aloke Bajpai. Reports said stolen data involved 617 million accounts 16 websites including Dubsmash MyFitnessPal another 127 million eight sites including Ixigo ."
Scientists claim to make 1st robot that moves without GPS,"Scientists in France claim to have developed the first walking robot that can explore its environment and return to base without using GPS. The six-legged robot has an optical compass that uses polarised light to determine its direction, and an optical movement sensor directed to the sun, to measure covered distance. It's inspired by desert ants' navigation abilities, scientists said.",technology,"Scientists claim to make 1st robot that moves without GPS. Scientists in France claim to have developed the first walking robot that can explore its environment and return to base without using GPS. The six-legged robot has an optical compass that uses polarised light to determine its direction, and an optical movement sensor directed to the sun, to measure covered distance. It's inspired by desert ants' navigation abilities, scientists said.","Scientists claim make 1st robot moves without GPS. Scientists France claim developed first walking robot explore environment return base without using GPS. six-legged robot optical compass uses polarised light determine direction , optical movement sensor directed sun , measure covered distance. inspired desert ants navigation abilities , scientists said ."
"Facebook, US negotiating multi-billion-dollar fine: Report","Facebook is negotiating a multi-billion-dollar fine to settle an investigation of the US Federal Trade Commission (FTC), the Washington Post reported. The probe focused on whether data sharing with Cambridge Analytica and other privacy disputes violated a 2011 agreement with the FTC to safeguard user privacy. Facebook reportedly faces the highest-ever fine imposed by FTC on a technology firm.",technology,"Facebook, US negotiating multi-billion-dollar fine: Report. Facebook is negotiating a multi-billion-dollar fine to settle an investigation of the US Federal Trade Commission (FTC), the Washington Post reported. The probe focused on whether data sharing with Cambridge Analytica and other privacy disputes violated a 2011 agreement with the FTC to safeguard user privacy. Facebook reportedly faces the highest-ever fine imposed by FTC on a technology firm.","Facebook , US negotiating multi-billion-dollar fine : Report. Facebook negotiating multi-billion-dollar fine settle investigation US Federal Trade Commission ( FTC ) , Washington Post reported. probe focused whether data sharing Cambridge Analytica privacy disputes violated 2011 agreement FTC safeguard user privacy. Facebook reportedly faces highest-ever fine imposed FTC technology firm ."
Niantic agrees to make changes in Pokémon Go over lawsuit,"Pokémon Go creator Niantic agreed to make changes in the game to settle a class-action nuisance complaint filed by those with PokéStops placed near their houses. As per the proposed settlement, in-app warnings to be respectful of real-world surroundings will show if over 10 players gather in one place. Further, Niantic will resolve complaints to remove PokéStops within 15 days.",technology,"Niantic agrees to make changes in Pokémon Go over lawsuit. Pokémon Go creator Niantic agreed to make changes in the game to settle a class-action nuisance complaint filed by those with PokéStops placed near their houses. As per the proposed settlement, in-app warnings to be respectful of real-world surroundings will show if over 10 players gather in one place. Further, Niantic will resolve complaints to remove PokéStops within 15 days.","Niantic agrees make changes Pokemon Go lawsuit. Pokemon Go creator Niantic agreed make changes game settle class-action nuisance complaint filed PokeStops placed near houses. per proposed settlement , in-app warnings respectful real-world surroundings show 10 players gather one place. , Niantic resolve complaints remove PokeStops within 15 days ."
Elon Musk most exciting influencer on our platform: Twitter CEO,"Twitter CEO Jack Dorsey in a recent interview, on being asked about the most exciting influencer on the microblogging platform tweeted, ""To me personally? I like how Elon Musk uses Twitter"". Dorsey added, ""[Musk] is focused on solving existential problems and sharing his thinking openly. I respect that a lot"". Elon Musk responded saying, ""Thanks Jack, Twitter rocks!""",technology,"Elon Musk most exciting influencer on our platform: Twitter CEO. Twitter CEO Jack Dorsey in a recent interview, on being asked about the most exciting influencer on the microblogging platform tweeted, ""To me personally? I like how Elon Musk uses Twitter"". Dorsey added, ""[Musk] is focused on solving existential problems and sharing his thinking openly. I respect that a lot"". Elon Musk responded saying, ""Thanks Jack, Twitter rocks!""","Elon Musk exciting influencer platform : Twitter CEO. Twitter CEO Jack Dorsey recent interview , asked exciting influencer microblogging platform tweeted , "" personally ? like Elon Musk uses Twitter "" . Dorsey added , "" [ Musk ] focused solving existential problems sharing thinking openly. respect lot "" . Elon Musk responded saying , "" Thanks Jack , Twitter rocks ! """
Facebook promotes ads of anti-vaccination groups: Report,"Facebook enables advertisers to promote content to nearly nine lakh people interested in ""vaccine controversies"", The Guardian has claimed. This is because its advertising platform allows users to pay to promote posts to users, who are categorised based on their online activity. Facebook had earlier faced criticism over ""anti-semitic"" category, after which it vowed to build ""new guardrails"".",technology,"Facebook promotes ads of anti-vaccination groups: Report. Facebook enables advertisers to promote content to nearly nine lakh people interested in ""vaccine controversies"", The Guardian has claimed. This is because its advertising platform allows users to pay to promote posts to users, who are categorised based on their online activity. Facebook had earlier faced criticism over ""anti-semitic"" category, after which it vowed to build ""new guardrails"".","Facebook promotes ads anti-vaccination groups : Report. Facebook enables advertisers promote content nearly nine lakh people interested "" vaccine controversies "" , Guardian claimed. advertising platform allows users pay promote posts users , categorised based online activity. Facebook earlier faced criticism "" anti-semitic "" category , vowed build "" new guardrails "" ."
I don't need to condemn an attack publicly: Sania Mirza to trolls,"Indian tennis player Sania Mirza shared a message for trolls who criticised her for not condemning Pulwama attack on social media, saying she doesn't need to condemn an attack publicly. ""Find your way to serve the nation instead of...judging public figures,"" she wrote on Instagram. ""Do your bit and we're doing our bit...without announcing on social media,"" she added.",sports,"I don't need to condemn an attack publicly: Sania Mirza to trolls. Indian tennis player Sania Mirza shared a message for trolls who criticised her for not condemning Pulwama attack on social media, saying she doesn't need to condemn an attack publicly. ""Find your way to serve the nation instead of...judging public figures,"" she wrote on Instagram. ""Do your bit and we're doing our bit...without announcing on social media,"" she added.","not need condemn attack publicly : Sania Mirza trolls. Indian tennis player Sania Mirza shared message trolls criticised not condemning Pulwama attack social media , saying not need condemn attack publicly. "" Find way serve nation instead ... judging public figures , "" wrote Instagram. "" bit bit ... without announcing social media , "" added ."
Chris Gayle to end 20-year ODI career after 2019 World Cup,"Windies' all-rounder Chris Gayle has announced he'll retire from ODI cricket following the 2019 World Cup, which will take place from May 30 to July 14 in England and Wales. The 39-year-old made his ODI debut against India in 1999, and has scored 9,727 runs in 284 ODIs so far. Gayle is the second highest ODI run-scorer among Windies' players.",sports,"Chris Gayle to end 20-year ODI career after 2019 World Cup. Windies' all-rounder Chris Gayle has announced he'll retire from ODI cricket following the 2019 World Cup, which will take place from May 30 to July 14 in England and Wales. The 39-year-old made his ODI debut against India in 1999, and has scored 9,727 runs in 284 ODIs so far. Gayle is the second highest ODI run-scorer among Windies' players.","Chris Gayle end 20-year ODI career 2019 World Cup. Windies all-rounder Chris Gayle announced retire ODI cricket following 2019 World Cup , take place May 30 July 14 England Wales. 39-year-old made ODI debut India 1999 , scored 9,727 runs 284 ODIs far. Gayle second highest ODI run-scorer among Windies players ."
Michael Jordan once scored 38 points with 103-degree fever,"NBA legend Michael Jordan, who turns 56 today, once scored 38 points in Game 5 of 1997 NBA Finals for Chicago Bulls against Utah Jazz, despite having 103-degree fever. The game, which Bulls won 90-88, came to be known as the ""flu game"". In 2013, Jordan's sneakers that he wore during that game were sold at an auction for $104,765.",sports,"Michael Jordan once scored 38 points with 103-degree fever. NBA legend Michael Jordan, who turns 56 today, once scored 38 points in Game 5 of 1997 NBA Finals for Chicago Bulls against Utah Jazz, despite having 103-degree fever. The game, which Bulls won 90-88, came to be known as the ""flu game"". In 2013, Jordan's sneakers that he wore during that game were sold at an auction for $104,765.","Michael Jordan scored 38 points 103-degree fever. NBA legend Michael Jordan , turns 56 today , scored 38 points Game 5 1997 NBA Finals Chicago Bulls Utah Jazz , despite 103-degree fever. game , Bulls 90-88 , came known "" flu game "" . 2013 , Jordans sneakers wore game sold auction $ 104,765 ."
Glenn McGrath was shown a red card in the first-ever T20I,"Former Australian pacer Glenn McGrath was jokingly shown a red card by umpire Billy Bowden for mocking an underarm delivery in the first-ever T20I, on February 17, 2005. McGrath was re-enacting the 1981 incident when Australia's Trevor Chappell bowled underarm to save seven runs off the last ball. Australia won the first-ever T20I against New Zealand by 44 runs.",sports,"Glenn McGrath was shown a red card in the first-ever T20I. Former Australian pacer Glenn McGrath was jokingly shown a red card by umpire Billy Bowden for mocking an underarm delivery in the first-ever T20I, on February 17, 2005. McGrath was re-enacting the 1981 incident when Australia's Trevor Chappell bowled underarm to save seven runs off the last ball. Australia won the first-ever T20I against New Zealand by 44 runs.","Glenn McGrath shown red card first-ever T20I. Former Australian pacer Glenn McGrath jokingly shown red card umpire Billy Bowden mocking underarm delivery first-ever T20I , February 17 , 2005. McGrath re-enacting 1981 incident Australias Trevor Chappell bowled underarm save seven runs last ball. Australia first-ever T20I New Zealand 44 runs ."
Pak cricketers' photos removed from Mohali stadium after Pulwama,"Punjab Cricket Association (PCA) has removed photographs of Pakistani cricketers from various points inside the Mohali stadium to show solidarity with the families of martyrs of Pulwama terror attack. PCA treasurer Ajay Tyagi said the stadium had 15 photos of Pakistani cricketers including that of Pakistan PM Imran Khan. Earlier, Mumbai's Cricket Club of India covered Imran Khan's portrait.",sports,"Pak cricketers' photos removed from Mohali stadium after Pulwama. Punjab Cricket Association (PCA) has removed photographs of Pakistani cricketers from various points inside the Mohali stadium to show solidarity with the families of martyrs of Pulwama terror attack. PCA treasurer Ajay Tyagi said the stadium had 15 photos of Pakistani cricketers including that of Pakistan PM Imran Khan. Earlier, Mumbai's Cricket Club of India covered Imran Khan's portrait.","Pak cricketers photos removed Mohali stadium Pulwama. Punjab Cricket Association ( PCA ) removed photographs Pakistani cricketers various points inside Mohali stadium show solidarity families martyrs Pulwama terror attack. PCA treasurer Ajay Tyagi said stadium 15 photos Pakistani cricketers including Pakistan PM Imran Khan. Earlier , Mumbais Cricket Club India covered Imran Khans portrait ."
Pak Super League telecast suspended in India after Pulwama attack,"DSport, the official broadcaster of the Pakistan Super League (PSL) 2019 in India, has suspended the broadcast of the tournament in the wake of the Pulwama terror attack. The channel was to reportedly black out the tournament from Friday night but couldn't due to some technical issues. The telecast was suspended from Saturday's Lahore Qalandars and Karachi Kings' match onward.",sports,"Pak Super League telecast suspended in India after Pulwama attack. DSport, the official broadcaster of the Pakistan Super League (PSL) 2019 in India, has suspended the broadcast of the tournament in the wake of the Pulwama terror attack. The channel was to reportedly black out the tournament from Friday night but couldn't due to some technical issues. The telecast was suspended from Saturday's Lahore Qalandars and Karachi Kings' match onward.","Pak Super League telecast suspended India Pulwama attack. DSport , official broadcaster Pakistan Super League ( PSL ) 2019 India , suspended broadcast tournament wake Pulwama terror attack. channel reportedly black tournament Friday night could not due technical issues. telecast suspended Saturdays Lahore Qalandars Karachi Kings match onward ."
